Zeile, id, Bild, Info, Bewertung1, Bewertung2, Bewertung3, Timestamp
239,4fa93huqjcc6tl0hpbq5bek0t3s3h6u9,TraubenNeu.png,"Für 1 kg Trauben, d.h. ca. 10 Rispen Trauben, werden 0,37 kg oder 187 Liter CO2 verbraucht. Ein Mensch erzeugt beim Atmen die gleiche Menge an CO2 in ungefähr 8 Stunden. ",100,80,0,1520754955
294,1tnlcl1lfmcmu643gmhu424r3jt75nlm,PaprikaAlt.png,"Auf Chefkoch.de gibt es mehr als 2500 einfache Rezepte mit Paprika.",1,32,78,1520754987
492,lu3qshfsgh1t0kp59ucoh6o7ceo2v780,BananeAlt.png,,37,100,21,1520754988
239,4fa93huqjcc6tl0hpbq5bek0t3s3h6u9,KarotteNeu.png,"Diese Karotte hat circa 8 Liter Wasser während der Produktion, des Transports und der Lagerung verbraucht bzw. verschmutzt. ",100,100,0,1520755024
294,1tnlcl1lfmcmu643gmhu424r3jt75nlm,KarotteNeu.png,"Für 1 kg Karotten, d.h. ca. 16 Karotten, werden 0,27 kg oder 136 Liter CO2 verbraucht. Ein Mensch erzeugt beim Atmen die gleiche Menge an CO2 in ungefähr 6 Stunden. ",72,100,0,1520755042
459,vlge0qd56evpscuqf72f34vvaic85e90,FruehlingszwiebelNeu.png,,23,90,2,1520755059
239,4fa93huqjcc6tl0hpbq5bek0t3s3h6u9,FruehlingszwiebelAlt.png,"Auf Chefkoch.de gibt es mehr als 6500 einfache Rezepte mit Lauchzwiebel",0,85,17,1520755078
294,1tnlcl1lfmcmu643gmhu424r3jt75nlm,BirneNeu.png,"Auf Chefkoch.de gibt es mehr als 700 einfache Rezepte mit Birne.",100,73,0,1520755095
294,1tnlcl1lfmcmu643gmhu424r3jt75nlm,LimetteAlt.png,,0,65,66,1520755200
239,4fa93huqjcc6tl0hpbq5bek0t3s3h6u9,LimetteNeu.png,"75% der bisherigen Teilnehmer würden diese Limette noch essen oder verwerten.",0,89,7,1520755220
492,lu3qshfsgh1t0kp59ucoh6o7ceo2v780,ApfelAlt.png,"66% der bisherigen Teilnehmer würden diesen Apfel noch essen oder verwerten.",33,77,25,1520755228
294,1tnlcl1lfmcmu643gmhu424r3jt75nlm,BananeAlt.png,,34,72,56,1520755250
294,1tnlcl1lfmcmu643gmhu424r3jt75nlm,PaprikaNeu.png,"Auf Chefkoch.de gibt es mehr als 2500 einfache Rezepte mit Paprika.",100,100,0,1520755285
294,1tnlcl1lfmcmu643gmhu424r3jt75nlm,KarotteAlt.png,"Diese Karotte hat circa 8 Liter Wasser während der Produktion, des Transports und der Lagerung verbraucht bzw. verschmutzt. ",19,100,0,1520755364
239,4fa93huqjcc6tl0hpbq5bek0t3s3h6u9,BananeNeu.png,,100,100,0,1520755369
294,1tnlcl1lfmcmu643gmhu424r3jt75nlm,FruehlingszwiebelNeu.png,"74% der bisherigen Teilnehmer würden diese Lauchzwiebel noch essen oder verwerten.",0,100,0,1520755425
239,4fa93huqjcc6tl0hpbq5bek0t3s3h6u9,ApfelNeu.png,,82,100,0,1520755427
492,lu3qshfsgh1t0kp59ucoh6o7ceo2v780,LimetteNeu.png,,0,100,0,1520755475
294,1tnlcl1lfmcmu643gmhu424r3jt75nlm,ApfelNeu.png,"62% der bisherigen Teilnehmer würden diesen Apfel noch essen oder verwerten.",100,100,0,1520755486
239,4fa93huqjcc6tl0hpbq5bek0t3s3h6u9,FruehlingszwiebelNeu.png,"Auf Chefkoch.de gibt es mehr als 4500 einfache Rezepte mit Lauchzwiebel.",2,100,8,1520755486
492,lu3qshfsgh1t0kp59ucoh6o7ceo2v780,PaprikaAlt.png,"Diese Paprika hat circa 54 Liter Wasser während der Produktion, des Transports und der Lagerung verbraucht bzw. verschmutzt. ",0,24,93,1520755573
492,lu3qshfsgh1t0kp59ucoh6o7ceo2v780,BirneNeu.png,"67% der bisherigen Teilnehmer würden diese Birne noch essen oder verwerten.",100,100,0,1520755589
